"season"|"team"|"player"|"dob"|"age"|"nationality"|"current.club"|"height.cm"|"foot"|"joined"|"contract.start"|"contract.end"|"curr.market.value.EUR"|"prev.market.value.EUR"
"2014"|"FC Pune City"|"Lalrempuia Fanai"|1996-05-11|"18"|"India"|"NorthEast United FC"|"172"|NA|NA|NA|NA|NA|NA
"2014"|"FC Pune City"|"Israil Gurung"|1989-04-02|"25"|"India"|"Churchill Brothers SC"|"173"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"FC Pune City"|"Bikash Jairu"|1982-03-12|"32"|"India"|"Jamshedpur FC"|NA|NA|NA|NA|NA|NA|NA
"2014"|"FC Pune City"|"Tuncay Sanli"|1982-01-16|"32"|"Turkey"|"Retired"|"182"|"both"|NA|NA|NA|"1.20M"|"1.50M"
"2014"|"FC Pune City"|"Jackichand Singh"|1992-03-17|"22"|"India"|"FC Goa"|"170"|NA|NA|NA|NA|NA|NA
"2014"|"FC Pune City"|"Wesley Verhoek"|1986-09-25|"27"|"Netherlands"|"DHC Delft"|"187"|"both"|NA|NA|NA|"1.00M"|"1.40M"
"2014"|"FC Pune City"|"Kalu Uche"|1982-11-15|"31"|"Nigeria"|"Amar Tomar Kolkata"|"180"|"right"|NA|NA|NA|"4.50M"|"4.20M"
"2014"|"FC Pune City"|"Adrian Mutu"|1979-01-08|"35"|"Romania"|"Retired"|"180"|"right"|NA|NA|NA|"400K"|"500K"
"2014"|"FC Pune City"|"Yendrick Ruiz"|1987-04-12|"27"|"Costa Rica"|"CS Herediano"|"180"|"right"|NA|NA|NA|"300K"|"275K"
"2014"|"Kerala Blasters FC"|"Stephen Bywater"|1981-06-07|"33"|"England"|"Burton Albion"|"189"|"right"|NA|NA|NA|"250K"|"300K"
"2014"|"Kerala Blasters FC"|"Sandip Nandy"|1975-01-15|"39"|"India"|"Without Club"|"178"|NA|2014-07-01|NA|NA|"25K"|"50K"
"2014"|"Kerala Blasters FC"|"Shilton Paul"|1988-06-10|"26"|"India"|"Mohun Bagan AC"|"174"|NA|NA|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"Ramandeep Singh"|1991-06-27|"23"|"India"|"Minerva Punjab FC"|"187"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"Peter Ramage"|1983-11-22|"30"|"England"|"Retired"|"185"|"right"|NA|NA|NA|"1.00M"|"2.00M"
"2014"|"Kerala Blasters FC"|"Carlos Marchena"|1979-07-31|"34"|"Spain"|"Retired"|"182"|"right"|NA|NA|NA|"300K"|"300K"
"2014"|"Kerala Blasters FC"|"Deepak Mondal"|1979-10-13|"34"|"India"|"Tollygunge Agragami"|"173"|NA|NA|NA|NA|"50K"|NA
"2014"|"Kerala Blasters FC"|"Sandesh Jhingan"|1993-07-21|"20"|"India"|"Kerala Blasters FC"|"188"|NA|2014-07-22|NA|2020-05-31|"25K"|NA
"2014"|"Kerala Blasters FC"|"Rodrigo Arroz"|1984-03-21|"30"|"Brazil"|"Esporte Clube Tigres do Brasil (RJ)"|"184"|"right"|NA|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"Bruno Perone"|1987-07-06|"26"|"Brazil"|"Real Zaragoza"|"191"|"right"|NA|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"Gurwinder Singh"|1986-04-16|"28"|"India"|"NorthEast United FC"|"183"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"Marcus Williams"|1986-04-08|"28"|"England"|"Unknown"|"173"|"left"|NA|NA|NA|"200K"|"250K"
"2014"|"Kerala Blasters FC"|"Josué Currais"|1993-02-27|"21"|"Spain"|"UE Llagostera"|"176"|"left"|NA|NA|NA|"100K"|NA
"2014"|"Kerala Blasters FC"|"Saumik Dey"|1984-08-20|"29"|"India"|"Unknown"|"178"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"Nirmal Chettri"|1990-10-21|"23"|"India"|"FC Goa"|"177"|"both"|2014-07-01|NA|NA|"75K"|"75K"
"2014"|"Kerala Blasters FC"|"Rahul Bheke"|1990-12-06|"23"|"India"|"Bengaluru FC"|"179"|"right"|NA|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"Mehtab Hossain"|1985-09-05|"28"|"India"|"Retired"|"171"|"both"|2014-07-01|NA|NA|"100K"|NA
"2014"|"Kerala Blasters FC"|"Peter Carvalho"|1981-12-18|"32"|"India"|"Unknown"|"177"|NA|NA|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"Shankar Sampingiraj"|1994-12-14|"19"|"India"|"FC Pune City"|"183"|NA|NA|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"C.K. Vineeth"|1988-05-20|"26"|"India"|"Kerala Blasters FC"|"178"|NA|NA|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"Cavin Lobo"|1988-04-04|"26"|"India"|"Amar Tomar Kolkata"|"170"|NA|NA|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"Ishfaq Ahmed"|1983-03-17|"31"|"India"|"Without Club"|"175"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"Kerala Blasters FC"|"João Coimbra"|1986-05-24|"28"|"Portugal"|"US Mondorf-Les-Bains"|"183"|"right"|NA|NA|NA|"800K"|"700K"
"2014"|"Kerala Blasters FC"|"Pulga"|1985-11-06|"28"|"Spain"|"Without Club"|"180"|"right"|2014-08-21|NA|NA|"150K"|"50K"
"2014"|"Kerala Blasters FC"|"Sanchez Watt"|1991-02-14|"23"|"England"|"Billericay Town"|"180"|"left"|NA|NA|NA|"50K"|NA
"2014"|"Kerala Blasters FC"|"Chris Dagnall"|1986-04-15|"28"|"England"|"Bury FC"|"173"|"left"|NA|NA|NA|"350K"|"500K"
"2014"|"Kerala Blasters FC"|"Antonio German"|1991-12-26|"22"|"England"|"Gokulam Kerala FC"|"187"|"left"|NA|NA|NA|"150K"|"250K"
"2014"|"Kerala Blasters FC"|"Mohammed Rafi"|1982-05-24|"32"|"India"|"Chennaiyin FC"|"179"|NA|NA|NA|NA|"25K"|NA
"2014"|"Kerala Blasters FC"|"Manandeep Singh"|1992-11-03|"21"|"India"|"Mohun Bagan AC"|"180"|"both"|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"Subrata Pal"|1986-12-24|"27"|"India"|"Jamshedpur FC"|"185"|"both"|2014-07-01|NA|NA|"100K"|NA
"2014"|"Mumbai City FC"|"Albino Gomes"|1994-02-07|"20"|"India"|"Delhi Dynamos FC"|NA|NA|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"Debjit Majumder"|1988-03-06|"26"|"India"|"Amar Tomar Kolkata"|NA|NA|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"Darren O'Dea"|1987-02-04|"27"|"Ireland"|"Dundee FC"|"185"|"left"|NA|NA|NA|"700K"|"700K"
"2014"|"Mumbai City FC"|"Pavel Cmovs"|1990-06-29|"24"|"Czech Republic"|"FK Teplice"|"188"|"right"|2014-08-21|NA|NA|"600K"|"600K"
"2014"|"Mumbai City FC"|"Frantz Bertin"|1983-05-30|"31"|"Haiti"|"Without Club"|"186"|"right"|NA|NA|NA|"250K"|"300K"
"2014"|"Mumbai City FC"|"Rowilson Rodrigues"|1987-03-26|"27"|"India"|"Without Club"|"181"|NA|NA|NA|NA|"25K"|NA
"2014"|"Mumbai City FC"|"Keegan Pereira"|1987-11-07|"26"|"India"|"NorthEast United FC"|"175"|"left"|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"Lalchhuanmawia"|1989-04-14|"25"|"India"|"FC Pune City"|"182"|"left"|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"Aitor Fernández"|1986-08-23|"27"|"Spain"|"Extremadura UD"|"180"|"right"|NA|NA|NA|"300K"|"500K"
"2014"|"Mumbai City FC"|"Kingshuk Debnath"|1985-05-07|"29"|"India"|"East Bengal FC"|"177"|NA|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"Ashutosh Mehta"|1991-02-21|"23"|"India"|"FC Pune City"|"176"|NA|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"Sampath Kuttymani"|1986-09-28|"27"|"India"|"DSK Shivajians"|"185"|NA|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"Juan Aguilera"|1985-09-13|"28"|"Spain"|"SD Huesca"|"185"|"left"|NA|NA|NA|"500K"|"500K"
"2014"|"Mumbai City FC"|"Pratesh Shirodkar"|1989-02-19|"25"|"India"|"FC Goa"|"158"|NA|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"Cristian Bustos"|1983-05-29|"31"|"Spain"|"Without Club"|"176"|"right"|NA|NA|NA|"600K"|"600K"
"2014"|"Mumbai City FC"|"Thangjam Singh"|1987-03-01|"27"|"India"|"NEROCA FC"|"174"|NA|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"André Moritz"|1986-08-06|"27"|"Brazil"|"Avaí Futebol Clube (SC)"|"187"|"left"|2014-10-10|NA|NA|"1.70M"|"1.50M"
"2014"|"Mumbai City FC"|"Selim Benachour"|1981-09-08|"32"|"Tunisia"|"Retired"|"170"|"right"|NA|NA|NA|"600K"|"700K"
"2014"|"Mumbai City FC"|"Sony Nordé"|1989-07-27|"24"|"Haiti"|"Unknown"|"176"|"right"|NA|NA|NA|"100K"|"75K"
"2014"|"Mumbai City FC"|"Brandon Fernandes"|1994-09-20|"19"|"India"|"FC Goa"|"171"|NA|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"Gabriel Fernandes"|1988-04-22|"26"|"India"|"FC Pune City"|"167"|NA|NA|NA|NA|NA|NA
"2014"|"Mumbai City FC"|"Nicolas Anelka"|1979-03-14|"35"|"France"|"Retired"|"186"|"right"|2014-09-01|NA|NA|"1.00M"|"500K"
"2014"|"Mumbai City FC"|"Sunil Chhetri"|1984-08-03|"29"|"India"|"Bengaluru FC"|"170"|NA|NA|NA|NA|"400K"|"400K"
"2014"|"Mumbai City FC"|"Frédéric Piquionne"|1978-12-08|"35"|"Martinique"|"Retired"|"188"|"right"|NA|NA|NA|"300K"|"500K"
"2014"|"Mumbai City FC"|"Subash Singh"|1990-02-02|"24"|"India"|"NEROCA FC"|"175"|"right"|2014-07-01|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Gennaro Bracigliano"|1980-03-01|"34"|"France"|"FC Lunéville"|"183"|"right"|NA|NA|NA|"250K"|"300K"
"2014"|"NorthEast United FC"|"Subrata Pal"|1986-12-24|"27"|"India"|"Jamshedpur FC"|"185"|"both"|NA|NA|NA|"100K"|NA
"2014"|"NorthEast United FC"|"TP Rehenesh"|1993-02-13|"21"|"India"|"NorthEast United FC"|"178"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Lalthuammawia Ralte"|1992-11-28|"21"|"India"|"FC Goa"|"177"|NA|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Marlangki Suting"|1986-01-09|"28"|"India"|"Royal Wahingdoh FC"|"175"|NA|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"André Bikey-Amougou"|1985-01-08|"29"|"Cameroon"|"Amar Tomar Kolkata"|"183"|"right"|NA|NA|NA|"800K"|"800K"
"2014"|"NorthEast United FC"|"Carlos López"|1980-03-19|"34"|"Argentina"|"Unknown"|"184"|"right"|NA|NA|NA|"250K"|NA
"2014"|"NorthEast United FC"|"Mailson"|1988-02-05|"26"|"Brazil"|"Chennaiyin FC"|"183"|"right"|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Zohmingliana Ralte"|1990-10-02|"23"|"India"|"Chennaiyin FC"|"178"|"right"|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Robin Gurung"|1992-10-24|"21"|"India"|"Jamshedpur FC"|"172"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Yumnam Raju"|1989-07-03|"24"|"India"|"Jamshedpur FC"|"170"|NA|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Miguel Garcia"|1983-02-04|"31"|"Portugal"|"Retired"|"179"|"right"|2014-09-01|NA|NA|"600K"|"1.00M"
"2014"|"NorthEast United FC"|"Cédric Hengbart"|1980-07-13|"33"|"France"|"Retired"|"183"|"right"|NA|NA|NA|"500K"|"500K"
"2014"|"NorthEast United FC"|"Nirmal Chettri"|1990-10-21|"23"|"India"|"FC Goa"|"177"|"both"|NA|NA|NA|"75K"|"75K"
"2014"|"NorthEast United FC"|"Aiborlang Khongjee"|1987-12-09|"26"|"India"|"Amar Tomar Kolkata"|"180"|NA|2014-07-22|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Reagan Singh"|1991-04-01|"23"|"India"|"NorthEast United FC"|"173"|"right"|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Katsumi Yusa"|1988-08-02|"25"|"Japan"|"NEROCA FC"|"168"|"right"|NA|NA|NA|"50K"|NA
"2014"|"NorthEast United FC"|"Rowllin Borges"|1992-06-05|"22"|"India"|"NorthEast United FC"|"183"|NA|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Bruno Herrero"|1985-02-13|"29"|"Spain"|"San Fernando CD"|"175"|"right"|NA|NA|NA|"400K"|"700K"
"2014"|"NorthEast United FC"|"Siam Hanghal"|1993-05-26|"21"|"India"|"Delhi Dynamos FC"|"182"|NA|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Sanju Pradhan"|1989-08-15|"24"|"India"|"Mumbai City FC"|"168"|"right"|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Boithang Haokip"|1991-09-09|"22"|"India"|"Bengaluru FC"|"178"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Seityasen Singh"|1992-03-12|"22"|"India"|"NorthEast United FC"|"178"|NA|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Silas"|1976-09-01|"37"|"Portugal"|"Retired"|"178"|"left"|NA|NA|NA|"150K"|"500K"
"2014"|"NorthEast United FC"|"Sumeet Passi"|1995-04-18|"19"|"India"|"Jamshedpur FC"|"179"|NA|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Simão"|1979-10-31|"34"|"Portugal"|"Retired"|"174"|"both"|NA|NA|NA|"1.50M"|"2.00M"
"2014"|"NorthEast United FC"|"Alen Deory"|1996-01-12|"18"|"India"|"Mumbai City FC"|"177"|"right"|2014-07-01|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Holicharan Narzary"|1994-05-10|"20"|"India"|"Kerala Blasters FC"|"174"|NA|NA|NA|NA|NA|NA
"2014"|"NorthEast United FC"|"Diomansy Kamara"|1980-11-08|"33"|"Senegal"|"Retired"|"184"|"both"|NA|NA|NA|"1.00M"|"1.40M"
"2014"|"NorthEast United FC"|"Nicolás Vélez"|1990-07-04|"23"|"Argentina"|"Negeri Sembilan FA"|"173"|"right"|NA|NA|NA|"100K"|"175K"
"2014"|"NorthEast United FC"|"Victor Mendy"|1981-12-22|"32"|"Senegal"|"Retired"|"180"|"both"|NA|NA|NA|"400K"|"600K"
"2014"|"NorthEast United FC"|"Francis Dadzie"|1995-07-05|"18"|"Ghana"|"Sporting Goa"|"183"|"both"|NA|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Pawan Kumar"|1990-07-01|"25"|"India"|"NorthEast United FC"|"182"|NA|2013-09-01|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Soram Anganba"|1992-12-24|"22"|"India"|"Bengaluru FC"|"180"|NA|2014-11-01|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Nikhil Bernard"|1989-12-30|"25"|"India"|"Chennaiyin FC"|"178"|"right"|2016-02-02|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Amrinder Singh"|1993-05-27|"22"|"India"|"Mumbai City FC"|"186"|NA|2015-12-25|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Lalthuammawia Ralte"|1992-11-28|"22"|"India"|"FC Goa"|"177"|NA|2014-09-01|NA|2018-05-30|NA|NA
"2015"|"Bengaluru FC"|"Shivananju Manju"|1987-05-09|"28"|"India"|"Unknown"|"179"|"both"|2013-07-01|NA|NA|"75K"|NA
"2015"|"Bengaluru FC"|"Kosovar Sulejmani"|1999-04-02|"16"|"Kosovo"|"Snöstorp Nyhem FF"|NA|NA|NA|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Gurtej Singh"|1990-05-02|"25"|"India"|"FC Pune City"|"181"|"right"|2013-07-08|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Salam Singh"|1995-12-04|"19"|"India"|"East Bengal FC"|"188"|NA|2015-10-23|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Keegan Pereira"|1987-11-07|"27"|"India"|"NorthEast United FC"|"175"|"left"|2016-01-01|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Nishu Kumar"|1997-11-05|"17"|"India"|"Bengaluru FC"|"178"|"both"|2015-11-17|NA|2020-05-31|NA|NA
"2015"|"Bengaluru FC"|"Lalchhuanmawia"|1989-04-14|"26"|"India"|"FC Pune City"|"182"|"left"|2014-07-01|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Curtis Osano"|1987-03-08|"28"|"Kenya"|"FC Farnborough"|"180"|"right"|2013-07-16|NA|NA|"100K"|NA
"2015"|"Bengaluru FC"|"John Johnson"|1988-03-15|"27"|"England"|"Amar Tomar Kolkata"|"183"|"right"|2013-07-16|NA|2018-05-30|"75K"|"50K"
"2015"|"Bengaluru FC"|"Rino Anto"|1988-01-03|"27"|"India"|"Bengaluru FC"|"174"|"right"|2013-07-20|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Vishal Kumar"|1992-07-30|"22"|"India"|"Unknown"|NA|"right"|2013-07-01|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Shankar Sampingiraj"|1994-12-14|"20"|"India"|"FC Pune City"|"183"|NA|2013-12-13|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Josh Walker"|1989-02-21|"26"|"England"|"Edinburgh City FC"|"180"|"right"|2014-07-07|NA|NA|"500K"|"300K"
"2015"|"Bengaluru FC"|"Michael Collins"|1986-04-30|"29"|"Ireland"|"Retired"|"183"|NA|2016-01-21|NA|NA|"200K"|NA
"2015"|"Bengaluru FC"|"Darren Caldeira"|1987-09-19|"27"|"India"|"Mohun Bagan AC"|"183"|NA|2013-07-30|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Thoi Singh"|1990-10-05|"24"|"India"|"Chennaiyin FC"|"168"|NA|2016-01-01|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Eugeneson Lyngdoh"|1986-09-10|"28"|"India"|"Amar Tomar Kolkata"|"171"|NA|2014-07-01|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Siam Hanghal"|1993-05-26|"22"|"India"|"Delhi Dynamos FC"|"182"|NA|2013-09-01|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Malsawmzuala"|1997-09-12|"17"|"India"|"Amar Tomar Kolkata"|"178"|"right"|2015-11-17|NA|2018-05-31|NA|NA
"2015"|"Bengaluru FC"|"C.K. Vineeth"|1988-05-20|"27"|"India"|"Kerala Blasters FC"|"178"|NA|2014-01-30|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Alwyn George"|1992-03-01|"23"|"India"|"FC Pune City"|"173"|NA|2015-07-29|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Seiminlen Doungel"|1994-01-03|"21"|"India"|"Kerala Blasters FC"|"172"|"right"|2015-07-01|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Udanta Singh"|1996-06-14|"19"|"India"|"Bengaluru FC"|NA|NA|2014-07-15|NA|2020-06-30|NA|NA
"2015"|"Bengaluru FC"|"Beingaichho Beokhokhai"|1992-12-01|"22"|"India"|"Mohun Bagan AC"|NA|"right"|2013-07-01|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Sunil Chhetri"|1984-08-03|"30"|"India"|"Bengaluru FC"|"170"|NA|2016-01-01|NA|NA|"400K"|"400K"
"2015"|"Bengaluru FC"|"Seng-Yong Kim"|1987-02-26|"28"|"Korea, North"|"DSK Shivajians"|"186"|"right"|2015-06-03|NA|NA|"150K"|"300K"
"2015"|"Bengaluru FC"|"Robin Singh"|1990-05-09|"25"|"India"|"FC Pune City"|"185"|NA|2016-01-01|NA|NA|"75K"|NA
"2015"|"Bengaluru FC"|"Daniel Lalhlimpuia"|1997-09-12|"17"|"India"|"Delhi Dynamos FC"|"184"|NA|2015-11-17|NA|NA|NA|NA
"2015"|"Bengaluru FC"|"Karan Sawhney"|1992-03-23|"23"|"India"|"Without Club"|"184"|NA|2013-07-20|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Duwayne Kerr"|1987-01-16|"28"|"Jamaica"|"Without Club"|"199"|"right"|NA|NA|NA|"400K"|"400K"
"2015"|"Chennaiyin FC"|"Karanjit Singh"|1986-01-08|"29"|"India"|"Chennaiyin FC"|"182"|"right"|2015-07-01|NA|NA|"100K"|"100K"
"2015"|"Chennaiyin FC"|"Pawan Kumar"|1990-07-01|"25"|"India"|"NorthEast United FC"|"182"|NA|2015-11-10|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Éder Monteiro"|1983-09-21|"31"|"Brazil"|"Esporte Clube Taubaté (SP)"|"183"|"right"|2015-08-05|NA|NA|"150K"|"350K"
"2015"|"Chennaiyin FC"|"Eli Sabiá"|1988-08-31|"26"|"Brazil"|"Chennaiyin FC"|"189"|"left"|NA|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"John Arne Riise"|1980-09-24|"34"|"Norway"|"Retired"|"185"|"left"|NA|NA|NA|"700K"|"1.00M"
"2015"|"Chennaiyin FC"|"Jerry Lalrinzuala"|1998-07-30|"16"|"India"|"Chennaiyin FC"|"174"|"left"|NA|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Bernard Mendy"|1981-08-20|"33"|"France"|"Retired"|"180"|"right"|2015-07-01|NA|NA|"200K"|"400K"
"2015"|"Chennaiyin FC"|"Mehrajuddin Wadoo"|1984-02-12|"31"|"India"|"Without Club"|"186"|"right"|2015-07-01|NA|NA|"75K"|NA
"2015"|"Chennaiyin FC"|"Nallappan Mohanraj"|1989-02-23|"26"|"India"|"Without Club"|"177"|"right"|NA|NA|NA|"25K"|NA
"2015"|"Chennaiyin FC"|"Harmanjot Khabra"|1988-03-18|"27"|"India"|"Bengaluru FC"|"181"|"right"|2015-07-01|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Abhishek Das"|1993-11-15|"21"|"India"|"Mohun Bagan AC"|"170"|NA|2015-07-01|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Zakeer Mundampara"|1990-05-20|"25"|"India"|"Kerala Blasters FC"|NA|NA|2015-07-10|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Dhanpal Ganesh"|1994-06-13|"21"|"India"|"Chennaiyin FC"|"185"|NA|2015-07-10|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Hans Mulder"|1987-04-27|"28"|"Netherlands"|"RKC Waalwijk"|"180"|"right"|NA|NA|NA|"300K"|"300K"
"2015"|"Chennaiyin FC"|"Raphael Augusto"|1991-03-06|"24"|"Brazil"|"Chennaiyin FC"|"181"|"both"|2015-08-11|NA|NA|"200K"|"200K"
"2015"|"Chennaiyin FC"|"Manuele Blasi"|1980-08-17|"34"|"Italy"|"Retired"|"178"|"right"|2015-08-17|NA|NA|"50K"|"50K"
"2015"|"Chennaiyin FC"|"Anirudh Thapa"|1998-01-15|"17"|"India"|"Chennaiyin FC"|"169"|NA|NA|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Thoi Singh"|1990-10-05|"24"|"India"|"Chennaiyin FC"|"168"|NA|2015-07-10|NA|2019-05-31|NA|NA
"2015"|"Chennaiyin FC"|"Siam Hanghal"|1993-05-26|"22"|"India"|"Delhi Dynamos FC"|"182"|NA|NA|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Baljit Sahni"|1987-01-12|"28"|"India"|"Without Club"|"175"|NA|NA|NA|NA|"25K"|NA
"2015"|"Chennaiyin FC"|"Maurizio Peluso"|1985-06-20|"30"|"Italy"|"ASD Foligno Calcio"|"172"|NA|NA|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Dudu"|1985-07-18|"29"|"Nigeria"|"Without Club"|"179"|"left"|NA|NA|NA|"275K"|"500K"
"2015"|"Chennaiyin FC"|"Davide Succi"|1981-10-11|"33"|"Italy"|"SP La Fiorita"|"182"|"right"|NA|NA|NA|"200K"|"300K"
"2015"|"Chennaiyin FC"|"Jeje Lalpekhlua"|1991-01-07|"24"|"India"|"Chennaiyin FC"|"176"|NA|2015-07-01|NA|2020-05-31|"125K"|NA
"2015"|"Chennaiyin FC"|"Jayesh Rane"|1993-02-20|"22"|"India"|"Amar Tomar Kolkata"|"175"|NA|2015-07-01|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Daniel Lalhlimpuia"|1997-09-12|"17"|"India"|"Delhi Dynamos FC"|"184"|NA|NA|NA|NA|NA|NA
"2015"|"Chennaiyin FC"|"Uttam Rai"|1996-12-20|"18"|"India"|"Churchill Brothers SC"|NA|NA|NA|NA|NA|NA|NA
"2015"|"Delhi Dynamos FC"|"Toni Doblas"|1980-08-05|"34"|"Spain"|"Ceres-Negros FC"|"184"|"right"|2015-08-28|NA|NA|NA|NA
"2015"|"Delhi Dynamos FC"|"Soram Anganba"|1992-12-24|"22"|"India"|"Bengaluru FC"|"180"|NA|NA|NA|NA|NA|NA
"2015"|"Delhi Dynamos FC"|"Sanjiban Ghosh"|1991-07-06|"23"|"India"|"Chennaiyin FC"|"183"|NA|2015-10-01|NA|NA|NA|NA
"2015"|"Delhi Dynamos FC"|"Konsham Singh"|1996-11-23|"18"|"India"|"FC Goa"|"186"|NA|NA|NA|NA|NA|NA
"2015"|"Delhi Dynamos FC"|"Rubén González"|1982-01-29|"33"|"Spain"|"Retired"|"187"|"right"|NA|NA|NA|"400K"|"400K"
"2015"|"Delhi Dynamos FC"|"Anas Edathodika"|1987-02-15|"28"|"India"|"Kerala Blasters FC"|"181"|NA|2015-07-10|NA|NA|NA|NA
"2015"|"Delhi Dynamos FC"|"Lalchhawnkima"|1991-05-31|"24"|"India"|"Mohun Bagan AC"|"178"|"both"|NA|NA|NA|NA|NA
"2015"|"Delhi Dynamos FC"|"Lalruatthara"|1995-01-17|"20"|"India"|"Kerala Blasters FC"|"180"|"both"|NA|NA|NA|NA|NA
"2015"|"Delhi Dynamos FC"|"David Addy"|1990-02-21|"25"|"Ghana"|"Without Club"|"183"|"left"|NA|NA|NA|"1.00M"|"1.50M"
"2015"|"Delhi Dynamos FC"|"Milan Singh"|1992-05-15|"23"|"India"|"Mumbai City FC"|"174"|NA|NA|NA|NA|NA|NA
"2015"|"Delhi Dynamos FC"|"Amoes"|1994-04-09|"21"|"India"|"Without Club"|NA|NA|NA|NA|NA|NA|NA
"2015"|"Delhi Dynamos FC"|"Marcos Tébar"|1986-02-07|"29"|"Spain"|"Delhi Dynamos FC"|"185"|"right"|NA|NA|NA|"1.00M"|"1.50M"
"2015"|"Delhi Dynamos FC"|"Ibrahima Niasse"|1988-04-18|"27"|"Senegal"|"Raja Club Athletic Casablanca"|"188"|"right"|NA|NA|NA|"600K"|"600K"
"2015"|"Delhi Dynamos FC"|"Memo"|1988-02-14|"27"|"Brazil"|"Jamshedpur FC"|"179"|"right"|NA|NA|NA|NA|NA
